 Answer , Number of Possible of Solutions 
-1,12
0,24
1,8
2,20
3,8
4,24
5,16
6,48
7,44
8,60
9,44
10,40
11,52
12,88
13,76
14,72
15,72
16,60
17,64
18,108
19,60
20,68
21,72
22,88
23,84
24,84
25,84
26,60
27,96
28,100
29,108
30,100
31,60
32,76
33,132
34,92
35,108
36,68
37,116
38,84
39,108
40,88
41,108
42,108
43,132
44,120
45,152
46,104
47,96
48,120
49,100
50,124
51,116
52,184
53,124
54,124
55,160
56,180
57,136
58,148
59,112
60,156
61,148
62,120
63,168
64,120
65,136
66,136
67,132
68,140
69,144
70,116
71,164
72,168
73,192
74,168
75,212
76,124
77,176
78,164
79,200
80,148
81,260
82,188
83,212
84,192
85,276
86,196
87,200
88,212
89,256
90,220
91,240
92,184
93,252
94,208
95,272
96,284
97,328
98,240
99,308
100,288
101,280
102,276
103,328
104,296
105,300
106,252
107,236
108,264
109,232
110,260
111,292
112,236
113,248
114,236
115,248
116,188
117,224
118,208
119,260
120,224
121,276
122,172
123,252
124,156
125,312
126,244
127,188
128,244
129,240
130,208
131,272
132,172
133,288
134,208
135,264
136,160
137,224
138,168
139,184
140,172
141,244
142,160
143,248
144,164
145,172
146,156
147,204
148,120
149,160
150,136
151,124
152,132
153,176
154,144
155,172
156,116
157,120
158,104
159,176
160,88
161,104
162,88
163,124
164,100
165,124
166,92
167,124
168,88
169,104
170,84
171,108
172,88
173,76
174,60
175,88
176,96
177,88
178,60
179,60
180,80
181,88
182,60
183,68
184,40
185,80
186,68
187,76
188,64
189,68
190,40
191,48
192,32
193,56
194,28
195,48
196,40
197,40
198,44
199,40
200,40
201,28
202,32
203,36
204,40
205,20
206,32
207,24
208,24
209,20
210,16
211,8
212,16
213,16
214,12
215,8
216,4
217,4
218,4
219,4
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
